Territory_code,Plant_code,Brand_code,Package,Week_End_Date,Sum of Plan,fact,row_id
A,a,AD,PET 1.0,2023-08-11,104.09399843215942,120.47100234985352,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-08-18,89.91100072860718,116.24100376129151,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-08-25,88.70799827575684,78.20300031661988,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-09-01,147.37700366973874,59.18300033569336,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-09-08,127.9549970626831,31.709999809265142,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-09-15,105.3440008163452,109.90399814605712,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-09-22,177.07899856567383,90.8780009841919,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-09-29,99.13500118255617,78.20199991226197,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-10-06,78.0,81.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-10-13,81.0,56.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-10-20,69.0,61.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-10-27,66.0,67.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-11-03,49.0,50.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-11-10,49.0,35.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-11-17,53.0,49.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-11-24,51.0,53.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-12-01,14.0,31.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-12-08,50.0,60.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-12-15,52.0,35.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-12-22,68.0,103.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-12-29,44.0,65.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-01-05,40.0,23.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-01-12,53.0,54.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-01-19,56.0,31.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-01-26,78.0,23.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-02-02,244.0,29.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-02-09,50.0,46.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-02-16,49.0,25.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-02-23,29.0,57.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-03-01,98.0,25.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-03-08,51.0,48.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-03-15,46.0,27.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-03-22,73.0,50.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2024-03-29,90.0,32.01,A_a_AD_PET 1.0
